序号	变量名	数据类型	隐藏初始值	初始值	掉电保持	网络公开	注释	软元件地址	node_id
	传感器状态_上位机[2].NO[5]	BOOL		OFF			未使用样品瓶3-2	R10002.5	ns=4;s=上位机通讯|传感器状态_上位机[2].NO[5]
	传感器状态_上位机[2].NO[6]	BOOL		OFF			未使用样品瓶3-3	R10002.6	ns=4;s=上位机通讯|传感器状态_上位机[2].NO[6]
	传感器状态_上位机[2].NO[7]	BOOL		OFF			未使用样品瓶3-4	R10002.7	ns=4;s=上位机通讯|传感器状态_上位机[2].NO[7]
	传感器状态_上位机[2].NO[8]	BOOL		OFF			未使用样品瓶3-5	R10002.8	ns=4;s=上位机通讯|传感器状态_上位机[2].NO[8]
	传感器状态_上位机[2].NO[9]	BOOL		OFF			未使用样品瓶3-6	R10002.9	ns=4;s=上位机通讯|传感器状态_上位机[2].NO[9]
	传感器状态_上位机[2].NO[10]	BOOL		OFF			搅拌1-1	R10002.10	ns=4;s=上位机通讯|传感器状态_上位机[2].NO[10]
	传感器状态_上位机[2].NO[11]	BOOL		OFF			搅拌1-2	R10002.11	ns=4;s=上位机通讯|传感器状态_上位机[2].NO[11]
	传感器状态_上位机[2].NO[12]	BOOL		OFF			搅拌1-3	R10002.12	ns=4;s=上位机通讯|传感器状态_上位机[2].NO[12]
	传感器状态_上位机[2].NO[13]	BOOL		OFF			搅拌2-1	R10002.13	ns=4;s=上位机通讯|传感器状态_上位机[2].NO[13]
	传感器状态_上位机[2].NO[14]	BOOL		OFF			搅拌2-2	R10002.14	ns=4;s=上位机通讯|传感器状态_上位机[2].NO[14]
	传感器状态_上位机[2].NO[15]	BOOL		OFF			搅拌2-3	R10002.15	ns=4;s=上位机通讯|传感器状态_上位机[2].NO[15]
	传感器状态_上位机[3]	ST_BOOL16							
	传感器状态_上位机[3].NO	BOOL[16]							ns=4;s=上位机通讯|传感器状态_上位机[3].NO
	传感器状态_上位机[3].NO[0]	BOOL					拍照有料检测	R10003.0	ns=4;s=上位机通讯|传感器状态_上位机[3].NO[0]
	传感器状态_上位机[3].NO[1]	BOOL		OFF			加溶剂检测	R10003.1	ns=4;s=上位机通讯|传感器状态_上位机[3].NO[1]
	传感器状态_上位机[3].NO[2]	BOOL		OFF				R10003.2	ns=4;s=上位机通讯|传感器状态_上位机[3].NO[2]
	传感器状态_上位机[3].NO[3]	BOOL		OFF				R10003.3	ns=4;s=上位机通讯|传感器状态_上位机[3].NO[3]
	传感器状态_上位机[3].NO[4]	BOOL		OFF				R10003.4	ns=4;s=上位机通讯|传感器状态_上位机[3].NO[4]
	传感器状态_上位机[3].NO[5]	BOOL		OFF				R10003.5	ns=4;s=上位机通讯|传感器状态_上位机[3].NO[5]
	传感器状态_上位机[3].NO[6]	BOOL		OFF			机械手夹爪产品感应	R10003.6	ns=4;s=上位机通讯|传感器状态_上位机[3].NO[6]
	传感器状态_上位机[3].NO[7]	BOOL		OFF				R10003.7	ns=4;s=上位机通讯|传感器状态_上位机[3].NO[7]
	传感器状态_上位机[3].NO[8]	BOOL		OFF			固体粉末容器1-1	R10003.8	ns=4;s=上位机通讯|传感器状态_上位机[3].NO[8]
	传感器状态_上位机[3].NO[9]	BOOL		OFF			固体粉末容器1-2	R10003.9	ns=4;s=上位机通讯|传感器状态_上位机[3].NO[9]
	传感器状态_上位机[3].NO[10]	BOOL		OFF			固体粉末容器1-3	R10003.10	ns=4;s=上位机通讯|传感器状态_上位机[3].NO[10]
	传感器状态_上位机[3].NO[11]	BOOL		OFF			固体粉末容器2-1	R10003.11	ns=4;s=上位机通讯|传感器状态_上位机[3].NO[11]
	传感器状态_上位机[3].NO[12]	BOOL		OFF			固体粉末容器2-2	R10003.12	ns=4;s=上位机通讯|传感器状态_上位机[3].NO[12]
	传感器状态_上位机[3].NO[13]	BOOL		OFF			固体粉末容器2-3	R10003.13	ns=4;s=上位机通讯|传感器状态_上位机[3].NO[13]
	传感器状态_上位机[3].NO[14]	BOOL					开盖工位1	R10003.14	ns=4;s=上位机通讯|传感器状态_上位机[3].NO[14]
	传感器状态_上位机[3].NO[15]	BOOL					开盖工位2	R10003.15	ns=4;s=上位机通讯|传感器状态_上位机[3].NO[15]
	传感器状态_上位机[4]	ST_BOOL16							
	传感器状态_上位机[4].NO	BOOL[16]							ns=4;s=上位机通讯|传感器状态_上位机[4].NO
	传感器状态_上位机[4].NO[0]	BOOL					放瓶盖工位1	R10004.0	ns=4;s=上位机通讯|传感器状态_上位机[4].NO[0]
	传感器状态_上位机[4].NO[1]	BOOL					放瓶盖工位2	R10004.1	ns=4;s=上位机通讯|传感器状态_上位机[4].NO[1]
	传感器状态_上位机[4].NO[2]	BOOL					放瓶盖工位3	R10004.2	ns=4;s=上位机通讯|传感器状态_上位机[4].NO[2]
	传感器状态_上位机[4].NO[3]	BOOL					放瓶盖工位4	R10004.3	ns=4;s=上位机通讯|传感器状态_上位机[4].NO[3]
	传感器状态_上位机[4].NO[4]	BOOL					放瓶盖工位5	R10004.4	ns=4;s=上位机通讯|传感器状态_上位机[4].NO[4]
	传感器状态_上位机[4].NO[5]	BOOL					TIP试剂盒检测1	R10004.5	ns=4;s=上位机通讯|传感器状态_上位机[4].NO[5]
	传感器状态_上位机[4].NO[6]	BOOL					TIP试剂盒检测2	R10004.6	ns=4;s=上位机通讯|传感器状态_上位机[4].NO[6]
	传感器状态_上位机[4].NO[7]	BOOL					加液体工位1	R10004.7	ns=4;s=上位机通讯|传感器状态_上位机[4].NO[7]
	传感器状态_上位机[4].NO[8]	BOOL					加液体工位2	R10004.8	ns=4;s=上位机通讯|传感器状态_上位机[4].NO[8]
	传感器状态_上位机[4].NO[9]	BOOL					加液体工位3	R10004.9	ns=4;s=上位机通讯|传感器状态_上位机[4].NO[9]
	传感器状态_上位机[4].NO[10]	BOOL					加液体工位4	R10004.10	ns=4;s=上位机通讯|传感器状态_上位机[4].NO[10]
	传感器状态_上位机[4].NO[11]	BOOL					加液体工位5	R10004.11	ns=4;s=上位机通讯|传感器状态_上位机[4].NO[11]
	传感器状态_上位机[4].NO[12]	BOOL		OFF			液体试剂瓶1-1	R10004.12	ns=4;s=上位机通讯|传感器状态_上位机[4].NO[12]
	传感器状态_上位机[4].NO[13]	BOOL		OFF			液体试剂瓶1-2	R10004.13	ns=4;s=上位机通讯|传感器状态_上位机[4].NO[13]
	传感器状态_上位机[4].NO[14]	BOOL		OFF			液体试剂瓶1-3	R10004.14	ns=4;s=上位机通讯|传感器状态_上位机[4].NO[14]
	传感器状态_上位机[4].NO[15]	BOOL		OFF			液体试剂瓶1-4	R10004.15	ns=4;s=上位机通讯|传感器状态_上位机[4].NO[15]
	传感器状态_上位机[5]	ST_BOOL16							
	传感器状态_上位机[5].NO	BOOL[16]							ns=4;s=上位机通讯|传感器状态_上位机[5].NO
	传感器状态_上位机[5].NO[0]	BOOL		OFF			液体试剂瓶1-5	R10005.0	ns=4;s=上位机通讯|传感器状态_上位机[5].NO[0]
	传感器状态_上位机[5].NO[1]	BOOL		OFF			液体试剂瓶2-1	R10005.1	ns=4;s=上位机通讯|传感器状态_上位机[5].NO[1]
	传感器状态_上位机[5].NO[2]	BOOL		OFF			液体试剂瓶2-2	R10005.2	ns=4;s=上位机通讯|传感器状态_上位机[5].NO[2]
	传感器状态_上位机[5].NO[3]	BOOL		OFF			液体试剂瓶2-3	R10005.3	ns=4;s=上位机通讯|传感器状态_上位机[5].NO[3]
	传感器状态_上位机[5].NO[4]	BOOL		OFF			液体试剂瓶2-4	R10005.4	ns=4;s=上位机通讯|传感器状态_上位机[5].NO[4]
	传感器状态_上位机[5].NO[5]	BOOL		OFF			液体试剂瓶2-5	R10005.5	ns=4;s=上位机通讯|传感器状态_上位机[5].NO[5]
	传感器状态_上位机[5].NO[6]	BOOL		OFF			液体试剂瓶3-1	R10005.6	ns=4;s=上位机通讯|传感器状态_上位机[5].NO[6]
	传感器状态_上位机[5].NO[7]	BOOL		OFF			液体试剂瓶3-2	R10005.7	ns=4;s=上位机通讯|传感器状态_上位机[5].NO[7]
	传感器状态_上位机[5].NO[8]	BOOL		OFF			液体试剂瓶3-3	R10005.8	ns=4;s=上位机通讯|传感器状态_上位机[5].NO[8]
	传感器状态_上位机[5].NO[9]	BOOL		OFF			液体试剂瓶3-4	R10005.9	ns=4;s=上位机通讯|传感器状态_上位机[5].NO[9]
	传感器状态_上位机[5].NO[10]	BOOL		OFF			液体试剂瓶3-5	R10005.10	ns=4;s=上位机通讯|传感器状态_上位机[5].NO[10]
	传感器状态_上位机[5].NO[11]	BOOL		OFF			液体试剂瓶4-1	R10005.11	ns=4;s=上位机通讯|传感器状态_上位机[5].NO[11]
	传感器状态_上位机[5].NO[12]	BOOL		OFF			液体试剂瓶4-2	R10005.12	ns=4;s=上位机通讯|传感器状态_上位机[5].NO[12]
	传感器状态_上位机[5].NO[13]	BOOL		OFF			液体试剂瓶4-3	R10005.13	ns=4;s=上位机通讯|传感器状态_上位机[5].NO[13]
	传感器状态_上位机[5].NO[14]	BOOL		OFF			液体试剂瓶4-4	R10005.14	ns=4;s=上位机通讯|传感器状态_上位机[5].NO[14]
	传感器状态_上位机[5].NO[15]	BOOL		OFF			液体试剂瓶4-5	R10005.15	ns=4;s=上位机通讯|传感器状态_上位机[5].NO[15]
	传感器状态_上位机[6]	ST_BOOL16							
	传感器状态_上位机[6].NO	BOOL[16]							ns=4;s=上位机通讯|传感器状态_上位机[6].NO
	传感器状态_上位机[6].NO[0]	BOOL		OFF			使用烧杯1-1	R10006.0	ns=4;s=上位机通讯|传感器状态_上位机[6].NO[0]
	传感器状态_上位机[6].NO[1]	BOOL		OFF			使用烧杯1-2	R10006.1	ns=4;s=上位机通讯|传感器状态_上位机[6].NO[1]
	传感器状态_上位机[6].NO[2]	BOOL		OFF			使用烧杯1-3	R10006.2	ns=4;s=上位机通讯|传感器状态_上位机[6].NO[2]
	传感器状态_上位机[6].NO[3]	BOOL		OFF			使用烧杯1-4	R10006.3	ns=4;s=上位机通讯|传感器状态_上位机[6].NO[3]
	传感器状态_上位机[6].NO[4]	BOOL		OFF			使用烧杯1-5	R10006.4	ns=4;s=上位机通讯|传感器状态_上位机[6].NO[4]
	传感器状态_上位机[6].NO[5]	BOOL		OFF			使用烧杯1-6	R10006.5	ns=4;s=上位机通讯|传感器状态_上位机[6].NO[5]
	传感器状态_上位机[6].NO[6]	BOOL		OFF			使用烧杯2-1	R10006.6	ns=4;s=上位机通讯|传感器状态_上位机[6].NO[6]
	传感器状态_上位机[6].NO[7]	BOOL		OFF			使用烧杯2-2	R10006.7	ns=4;s=上位机通讯|传感器状态_上位机[6].NO[7]
	传感器状态_上位机[6].NO[8]	BOOL		OFF			使用烧杯2-3	R10006.8	ns=4;s=上位机通讯|传感器状态_上位机[6].NO[8]
	传感器状态_上位机[6].NO[9]	BOOL		OFF			使用烧杯2-4	R10006.9	ns=4;s=上位机通讯|传感器状态_上位机[6].NO[9]
	传感器状态_上位机[6].NO[10]	BOOL		OFF			使用烧杯2-5	R10006.10	ns=4;s=上位机通讯|传感器状态_上位机[6].NO[10]
	传感器状态_上位机[6].NO[11]	BOOL		OFF			使用烧杯2-6	R10006.11	ns=4;s=上位机通讯|传感器状态_上位机[6].NO[11]
	传感器状态_上位机[6].NO[12]	BOOL		OFF			使用烧杯3-1	R10006.12	ns=4;s=上位机通讯|传感器状态_上位机[6].NO[12]
	传感器状态_上位机[6].NO[13]	BOOL		OFF			使用烧杯3-2	R10006.13	ns=4;s=上位机通讯|传感器状态_上位机[6].NO[13]
	传感器状态_上位机[6].NO[14]	BOOL		OFF			使用烧杯3-3	R10006.14	ns=4;s=上位机通讯|传感器状态_上位机[6].NO[14]
	传感器状态_上位机[6].NO[15]	BOOL		OFF			使用烧杯3-4	R10006.15	ns=4;s=上位机通讯|传感器状态_上位机[6].NO[15]
	传感器状态_上位机[7]	ST_BOOL16							
	传感器状态_上位机[7].NO	BOOL[16]							ns=4;s=上位机通讯|传感器状态_上位机[7].NO
	传感器状态_上位机[7].NO[0]	BOOL		OFF			使用烧杯3-5	R10007.0	ns=4;s=上位机通讯|传感器状态_上位机[7].NO[0]
	传感器状态_上位机[7].NO[1]	BOOL		OFF			使用烧杯3-6	R10007.1	ns=4;s=上位机通讯|传感器状态_上位机[7].NO[1]
	传感器状态_上位机[7].NO[2]	BOOL		OFF			使用样品瓶1-1	R10007.2	ns=4;s=上位机通讯|传感器状态_上位机[7].NO[2]
	传感器状态_上位机[7].NO[3]	BOOL		OFF			使用样品瓶1-2	R10007.3	ns=4;s=上位机通讯|传感器状态_上位机[7].NO[3]
	传感器状态_上位机[7].NO[4]	BOOL		OFF			使用样品瓶1-3	R10007.4	ns=4;s=上位机通讯|传感器状态_上位机[7].NO[4]
	传感器状态_上位机[7].NO[5]	BOOL		OFF			使用样品瓶1-4	R10007.5	ns=4;s=上位机通讯|传感器状态_上位机[7].NO[5]
	传感器状态_上位机[7].NO[6]	BOOL		OFF			使用样品瓶1-5	R10007.6	ns=4;s=上位机通讯|传感器状态_上位机[7].NO[6]
	传感器状态_上位机[7].NO[7]	BOOL		OFF			使用样品瓶1-6	R10007.7	ns=4;s=上位机通讯|传感器状态_上位机[7].NO[7]
	传感器状态_上位机[7].NO[8]	BOOL		OFF			使用样品瓶2-1	R10007.8	ns=4;s=上位机通讯|传感器状态_上位机[7].NO[8]
	传感器状态_上位机[7].NO[9]	BOOL		OFF			使用样品瓶2-2	R10007.9	ns=4;s=上位机通讯|传感器状态_上位机[7].NO[9]
	传感器状态_上位机[7].NO[10]	BOOL		OFF			使用样品瓶2-3	R10007.10	ns=4;s=上位机通讯|传感器状态_上位机[7].NO[10]
	传感器状态_上位机[7].NO[11]	BOOL		OFF			使用样品瓶2-4	R10007.11	ns=4;s=上位机通讯|传感器状态_上位机[7].NO[11]
	传感器状态_上位机[7].NO[12]	BOOL		OFF			使用样品瓶2-5	R10007.12	ns=4;s=上位机通讯|传感器状态_上位机[7].NO[12]
	传感器状态_上位机[7].NO[13]	BOOL		OFF			使用样品瓶2-6	R10007.13	ns=4;s=上位机通讯|传感器状态_上位机[7].NO[13]
	传感器状态_上位机[7].NO[14]	BOOL		OFF			使用样品瓶3-1	R10007.14	ns=4;s=上位机通讯|传感器状态_上位机[7].NO[14]
	传感器状态_上位机[7].NO[15]	BOOL		OFF			使用样品瓶3-2	R10007.15	ns=4;s=上位机通讯|传感器状态_上位机[7].NO[15]
	传感器状态_上位机[8]	ST_BOOL16							
	传感器状态_上位机[8].NO	BOOL[16]							ns=4;s=上位机通讯|传感器状态_上位机[8].NO
	传感器状态_上位机[8].NO[0]	BOOL		OFF			使用样品瓶3-3	R10008.0	ns=4;s=上位机通讯|传感器状态_上位机[8].NO[0]
	传感器状态_上位机[8].NO[1]	BOOL		OFF			使用样品瓶3-4	R10008.1	ns=4;s=上位机通讯|传感器状态_上位机[8].NO[1]
	传感器状态_上位机[8].NO[2]	BOOL		OFF			使用样品瓶3-5	R10008.2	ns=4;s=上位机通讯|传感器状态_上位机[8].NO[2]
	传感器状态_上位机[8].NO[3]	BOOL		OFF			使用样品瓶3-6	R10008.3	ns=4;s=上位机通讯|传感器状态_上位机[8].NO[3]
	传感器状态_上位机[8].NO[4]	BOOL		OFF				R10008.4	ns=4;s=上位机通讯|传感器状态_上位机[8].NO[4]
	传感器状态_上位机[8].NO[5]	BOOL		OFF				R10008.5	ns=4;s=上位机通讯|传感器状态_上位机[8].NO[5]
	传感器状态_上位机[8].NO[6]	BOOL		OFF				R10008.6	ns=4;s=上位机通讯|传感器状态_上位机[8].NO[6]
	传感器状态_上位机[8].NO[7]	BOOL		OFF				R10008.7	ns=4;s=上位机通讯|传感器状态_上位机[8].NO[7]
	传感器状态_上位机[8].NO[8]	BOOL		OFF				R10008.8	ns=4;s=上位机通讯|传感器状态_上位机[8].NO[8]
	传感器状态_上位机[8].NO[9]	BOOL		OFF				R10008.9	ns=4;s=上位机通讯|传感器状态_上位机[8].NO[9]
	传感器状态_上位机[8].NO[10]	BOOL		OFF				R10008.10	ns=4;s=上位机通讯|传感器状态_上位机[8].NO[10]
	传感器状态_上位机[8].NO[11]	BOOL		OFF				R10008.11	ns=4;s=上位机通讯|传感器状态_上位机[8].NO[11]
	传感器状态_上位机[8].NO[12]	BOOL		OFF				R10008.12	ns=4;s=上位机通讯|传感器状态_上位机[8].NO[12]
	传感器状态_上位机[8].NO[13]	BOOL		OFF				R10008.13	ns=4;s=上位机通讯|传感器状态_上位机[8].NO[13]
	传感器状态_上位机[8].NO[14]	BOOL		OFF				R10008.14	ns=4;s=上位机通讯|传感器状态_上位机[8].NO[14]
	传感器状态_上位机[8].NO[15]	BOOL		OFF				R10008.15	ns=4;s=上位机通讯|传感器状态_上位机[8].NO[15]
	传感器状态_上位机[9]	ST_BOOL16							
	传感器状态_上位机[9].NO	BOOL[16]							ns=4;s=上位机通讯|传感器状态_上位机[9].NO
	传感器状态_上位机[9].NO[0]	BOOL		OFF				R10009.0	ns=4;s=上位机通讯|传感器状态_上位机[9].NO[0]
	传感器状态_上位机[9].NO[1]	BOOL		OFF				R10009.1	ns=4;s=上位机通讯|传感器状态_上位机[9].NO[1]
	传感器状态_上位机[9].NO[2]	BOOL		OFF				R10009.2	ns=4;s=上位机通讯|传感器状态_上位机[9].NO[2]
	传感器状态_上位机[9].NO[3]	BOOL		OFF				R10009.3	ns=4;s=上位机通讯|传感器状态_上位机[9].NO[3]
	传感器状态_上位机[9].NO[4]	BOOL		OFF				R10009.4	ns=4;s=上位机通讯|传感器状态_上位机[9].NO[4]
	传感器状态_上位机[9].NO[5]	BOOL		OFF				R10009.5	ns=4;s=上位机通讯|传感器状态_上位机[9].NO[5]
	传感器状态_上位机[9].NO[6]	BOOL		OFF				R10009.6	ns=4;s=上位机通讯|传感器状态_上位机[9].NO[6]
	传感器状态_上位机[9].NO[7]	BOOL		OFF				R10009.7	ns=4;s=上位机通讯|传感器状态_上位机[9].NO[7]
	传感器状态_上位机[9].NO[8]	BOOL		OFF				R10009.8	ns=4;s=上位机通讯|传感器状态_上位机[9].NO[8]
	传感器状态_上位机[9].NO[9]	BOOL		OFF				R10009.9	ns=4;s=上位机通讯|传感器状态_上位机[9].NO[9]
	传感器状态_上位机[9].NO[10]	BOOL		OFF				R10009.10	ns=4;s=上位机通讯|传感器状态_上位机[9].NO[10]
	传感器状态_上位机[9].NO[11]	BOOL		OFF				R10009.11	ns=4;s=上位机通讯|传感器状态_上位机[9].NO[11]
	传感器状态_上位机[9].NO[12]	BOOL		OFF				R10009.12	ns=4;s=上位机通讯|传感器状态_上位机[9].NO[12]
	传感器状态_上位机[9].NO[13]	BOOL		OFF				R10009.13	ns=4;s=上位机通讯|传感器状态_上位机[9].NO[13]
	传感器状态_上位机[9].NO[14]	BOOL		OFF				R10009.14	ns=4;s=上位机通讯|传感器状态_上位机[9].NO[14]
	传感器状态_上位机[9].NO[15]	BOOL		OFF				R10009.15	ns=4;s=上位机通讯|传感器状态_上位机[9].NO[15]
2	物料二维码_上位机	INT[30]		...	保持	公有		R10010	ns=4;s=上位机通讯|物料二维码_上位机
	物料二维码_上位机[0]	INT		0				R10010	ns=4;s=上位机通讯|物料二维码_上位机[0]
	物料二维码_上位机[1]	INT		0				R10011	ns=4;s=上位机通讯|物料二维码_上位机[1]
	物料二维码_上位机[2]	INT		0				R10012	ns=4;s=上位机通讯|物料二维码_上位机[2]
	物料二维码_上位机[3]	INT		0				R10013	ns=4;s=上位机通讯|物料二维码_上位机[3]
	物料二维码_上位机[4]	INT		0				R10014	ns=4;s=上位机通讯|物料二维码_上位机[4]
	物料二维码_上位机[5]	INT		0				R10015	ns=4;s=上位机通讯|物料二维码_上位机[5]
	物料二维码_上位机[6]	INT		0				R10016	ns=4;s=上位机通讯|物料二维码_上位机[6]
	物料二维码_上位机[7]	INT		0				R10017	ns=4;s=上位机通讯|物料二维码_上位机[7]
	物料二维码_上位机[8]	INT		0				R10018	ns=4;s=上位机通讯|物料二维码_上位机[8]
	物料二维码_上位机[9]	INT		0				R10019	ns=4;s=上位机通讯|物料二维码_上位机[9]
	物料二维码_上位机[10]	INT		0				R10020	ns=4;s=上位机通讯|物料二维码_上位机[10]
	物料二维码_上位机[11]	INT		0				R10021	ns=4;s=上位机通讯|物料二维码_上位机[11]
	物料二维码_上位机[12]	INT		0				R10022	ns=4;s=上位机通讯|物料二维码_上位机[12]
	物料二维码_上位机[13]	INT		0				R10023	ns=4;s=上位机通讯|物料二维码_上位机[13]
	物料二维码_上位机[14]	INT		0				R10024	ns=4;s=上位机通讯|物料二维码_上位机[14]
	物料二维码_上位机[15]	INT		0				R10025	ns=4;s=上位机通讯|物料二维码_上位机[15]
	物料二维码_上位机[16]	INT		0				R10026	ns=4;s=上位机通讯|物料二维码_上位机[16]
	物料二维码_上位机[17]	INT		0				R10027	ns=4;s=上位机通讯|物料二维码_上位机[17]
	物料二维码_上位机[18]	INT		0				R10028	ns=4;s=上位机通讯|物料二维码_上位机[18]
	物料二维码_上位机[19]	INT		0				R10029	ns=4;s=上位机通讯|物料二维码_上位机[19]
	物料二维码_上位机[20]	INT		0				R10030	ns=4;s=上位机通讯|物料二维码_上位机[20]
	物料二维码_上位机[21]	INT		0				R10031	ns=4;s=上位机通讯|物料二维码_上位机[21]
	物料二维码_上位机[22]	INT		0				R10032	ns=4;s=上位机通讯|物料二维码_上位机[22]
	物料二维码_上位机[23]	INT		0				R10033	ns=4;s=上位机通讯|物料二维码_上位机[23]
